name,ring,quadrant,isNew,description,Comments,2021 Ring,2021 is New,quadrant_detail,New in 2022,CNCF Radar,BK Version ,BK Comments,,
MuleSoftESB,Invest,Cloud Infrastructure,FALSE,,,Invest,FALSE,Platform Services,MuleSoftESB,,YES,,,
Nagios,Explore,Observability & Beyond,TRUE,"Collect data directly from your live code using non-breaking breakpoints. Debug, observe and understand anything, anytime, anywhere.",,,,Monitoring,#N/A,,YES,,,
Netdata,Explore,Observability & Beyond,TRUE,"Real-time performance monitoring, done right! https://www.netdata.cloud",,,,Monitoring,#N/A,,YES,,,
NetflixEureka,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,NetflixEureka,,YES,,,
NetflixZuul,Master,Composability,FALSE,,,Master,TRUE,Orchestration & Management,NetflixZuul,,YES,,,
NewRelic,Master,Observability & Beyond,TRUE,The Prometheus monitoring system and time series database.,,,,Monitoring,#N/A,,YES,,,
NGINX,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,NGINX,,YES,,,
NodeJS,Master,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,NodeJS,,YES,,,
OpenAPI,Explore,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,,YES,,,
OpenFaaS,Master,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
OpenMessaging,Invest,Composability,TRUE,,,,,Streaming & Messaging,#N/A,,YES,,,
OpenMetrics,Invest,Observability & Beyond,FALSE,Evolving the Prometheus exposition format into a standard.,,,,Monitoring,OpenMetrics,ADOPT,YES,,,
OpenShiftS2I(Source2Image),Master,Composability,FALSE,Todo,,Master,TRUE,Orchestration & Management,OpenShiftS2I(Source2Image),,YES,,,
OpenTelemetry,Explore,Observability & Beyond,FALSE,"Grafana Tempo is an open source, easy-to-use and high-scale distributed tracing backend. Tempo is cost-efficient, requiring only object storage to operate, and is deeply integrated with Grafana, Prometheus, and Loki. Tempo can be used with any of the open source tracing protocols, including Jaeger, Zipkin, and OpenTelemetry.",,,,Tracing,OpenTelemetry,ASSESS,YES,,,
OracleDatabase,Master,Cloud Native Engineering,TRUE,,,,,App Data,#N/A,,YES,,,
OutSystems,Explore,Composability,TRUE,,,,,Low Code No Code,#N/A,,YES,,,
Pinpoint,Explore,Observability & Beyond,TRUE,"APM, (Application Performance Management) tool for large-scale distributed systems.",,,,Tracing,#N/A,,NO,,,
PivotalCloudFoundry,Master,Composability,FALSE,Todo,,Master,FALSE,Orchestration & Management,PivotalCloudFoundry,,YES,,,
PivotalContainerServices,Invest,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,PivotalContainerServices,,YES,,,
SonarQube,Scale,Cloud Native Engineering,FALSE,,,,,CICD,SonarQube,ADOPT,YES,,,
HashiCorpvault,Scale,Cloud Infrastructure,FALSE,,,,,CICD,HashiCorpvault,ADOPT,YES,,,
PrivateCloudManagedKubernetes,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PrivateCloudManagedKubernetes,,YES,,,
PrivateCloudOpenShift,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PrivateCloudOpenShift,,YES,,,
AWSKeyManagementService,Scale,Cloud Infrastructure,FALSE,,,,,CICD,AWSKeyManagementService,ADOPT,YES,,,
PublicCloudManagedKubernetes,Master,Cloud Infrastructure,FALSE,,,,,Infrastructure,PublicCloudManagedKubernetes,,YES,,,
Python,Master,Cloud Native Engineering,FALSE,Todo,,Invest,FALSE,Development,Python,,YES,,,
AzureKeyVault,Scale,Cloud Infrastructure,FALSE,,,,,CICD,AzureKeyVault,ADOPT,YES,,,
Rancher,Explore,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,Rancher,,YES,,,
GCPCloudKeyManagement,Scale,Cloud Native Engineering,FALSE,,,,,CICD,GCPCloudKeyManagement,,YES,,,
RedHatAdvancedClusterManagement,Explore,Cloud Infrastructure,FALSE,,,,,Multi-Cloud,RedHatAdvancedClusterManagement,,YES,,,
RedHatCodeReadyContainers,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,TRUE,Development,RedHatCodeReadyContainers,,YES,,,
RedHatCodeReadyContainersStudio,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,TRUE,Development,RedHatCodeReadyContainersStudio,,YES,,,
Memcached,Scale,Cloud Native Engineering,FALSE,,,,,Managed DB,Memcached,,YES,,,
AWSElasticKubernetesService,Scale,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Scale,FALSE,Orchestration & Management,AWSElasticKubernetesService,,YES,,,
Rkt,Explore,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,Rkt,,YES,,,
ROSARedHatOpenShiftonAWS,Invest,Cloud Infrastructure,FALSE,,,,,Infrastructure,ROSARedHatOpenShiftonAWS,,YES,,,
SaltStack,Explore,Cloud Infrastructure,FALSE,,,,,Provisiong ,SaltStack,,YES,,,
Serverless,Invest,Cloud Infrastructure,TRUE,,,,,Serverless,#N/A,,YES,,,
SignalFX,Invest,Observability & Beyond,TRUE,"Splunk provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",,,,Monitoring,#N/A,,YES,,,
SkyWalking,Explore,Observability & Beyond,TRUE,"APM, Application Performance Monitoring System",,,,Tracing,#N/A,,YES,,,
AWSFargate,Scale,Composability,FALSE,Container as Service,,Master,FALSE,Orchestration & Management,AWSFargate,,YES,,,
Splunk,Invest,Observability & Beyond,FALSE,"LeanIX Miroservice Intelligence (MI) is a SaaS solution for development teams. It automatically discover metadata from your DevOps toolchain and build a central microservice catalog to increase developer productivity and ensure software reliability. Youâ€™ll always know whatâ€™s running where, who deployed it, and how it supports your business.",,,,Logging,Splunk,TRIAL,YES,,,
AzureKubernetesService,Scale,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Scale,FALSE,Orchestration & Management,AzureKubernetesService,,YES,,,
SpringCloudSleuth,Master,Observability & Beyond,TRUE,New Relic is a digital intelligence company that delivers full-stack visibility and analytics to enterprises.,,,,Tracing,#N/A,,YES,,,
Helm,Scale,Composability,TRUE,,,Invest,FALSE,Orchestration & Management,#N/A,ADOPT,YES,,,
SumoLogic,Invest,Observability & Beyond,TRUE,"Sumo Logic is a log management and analytics service, transforms big data into sources of operations, security, and compliance intelligence.",,,,Logging,#N/A,,YES,,,
Istio,Scale,Composability,FALSE,,,Master,TRUE,Orchestration & Management,Istio,,YES,,,
TeamCity,Explore,Cloud Native Engineering,TRUE,,,,,CI CD,#N/A,ASSESS,YES,,,
TektonPipelines,Explore,Cloud Native Engineering,FALSE,,,,,CI CD,TektonPipelines,ASSESS,YES,,,
TencentCloudLogService,Explore,Observability & Beyond,TRUE,"Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.",,,,Logging,#N/A,,YES,,,
Kafka,Scale,Composability,FALSE,,,,,Streaming & Messaging,Kafka,ADOPT,YES,,,
Thanos,Explore,Observability & Beyond,FALSE,"Loki is a horizontally-scalable, highly-available, multi-tenant log aggregation system inspired by Prometheus. It is designed to be very cost effective and easy to operate. It does not index the contents of the logs, but rather a set of labels for each log stream.",,,,Monitoring,Thanos,ASSESS,YES,,,
TortoiseSVN,Master,Cloud Native Engineering,FALSE,,,,,CICD,TortoiseSVN,,YES,,,
Traefik,Explore,Composability,FALSE,,,Explore,TRUE,Orchestration & Management,Traefik,,YES,,,
TraefikMesh,Explore,Composability,FALSE,,,Explore,TRUE,Orchestration & Management,TraefikMesh,,YES,,,
TypeScript,Master,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,TypeScript,,YES,,,
Vector,Explore,Observability & Beyond,TRUE,A high-performance observability data pipeline.,,,,Monitoring,#N/A,,YES,,,
Velero,Explore,Cloud Infrastructure,TRUE,,,,,Runtime,#N/A,,YES,,,
VisualStudio,Master,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,VisualStudio,,YES,,,
VisualStudioCode,Master,Cloud Native Engineering,FALSE,Todo,,Master,FALSE,Development,VisualStudioCode,,YES,,,
VMWareTanzu,Invest,Composability,FALSE,Todo,,Explore,TRUE,Orchestration & Management,VMWareTanzu,,YES,,,
VMwarevSphere,Master,Cloud Infrastructure,TRUE,,,,,Provisiong ,#N/A,,YES,,,
Wavefront,Explore,Observability & Beyond,TRUE,"Wavefront provides real-time views of your code, full stack, at detail down to sub-seconds.",,,,Monitoring,#N/A,,YES,,,
WeaveCloud,Explore,Observability & Beyond,TRUE,"CNCF Jaeger, a Distributed Tracing Platform",,,,Monitoring,#N/A,,YES,,,
WeaveScope,Explore,Observability & Beyond,TRUE,"Chronosphere develops a scalable, reliable, and customizable monitoring solution built for cloud-native applications.",,,,Monitoring,#N/A,,YES,,,
WSO2APIMicrogateway,Invest,Composability,FALSE,,,Invest,TRUE,Orchestration & Management,WSO2APIMicrogateway,,YES,,,
ZeroTrustArchitecture,Explore,Cloud Native Engineering,TRUE,,,,,Architectures,#N/A,,YES,,,
Zipkin,Explore,Observability & Beyond,TRUE,"From Splunk. It provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",,,,Tracing,#N/A,,YES,,,
Zuul,Master,Cloud Native Engineering,FALSE,,,Invest,FALSE,Development,Zuul,,YES,,,
Kubernetes,Scale,Composability,FALSE,"All DIY and Managed Services (EKS, IKS, AKS and GKE)",,Scale,FALSE,Orchestration & Management,Kubernetes,,YES,,,
AtlassianBamboo,Invest,Cloud Native Engineering,FALSE,,,,,Development,AtlassianBamboo,,YES,,,
Shippable,Explore,Cloud Native Engineering,FALSE,,,,,Development,Shippable,,YES,,,
OpenShiftPipelines,Explore,Cloud Native Engineering,FALSE,,,,,Development,OpenShiftPipelines,,YES,,,
ConcourseCI,Explore,Cloud Native Engineering,FALSE,,,,,Development,ConcourseCI,,YES,,,
RabbitMQ,Scale,Composability,FALSE,,,,,Streaming & Messaging,RabbitMQ,,YES,,,
Podman,Invest,Cloud Native Engineering,FALSE,,,,,CICD,Podman,,YES,,,
RedHatOpenShift,Scale,Composability,FALSE,Todo,,Scale,FALSE,Orchestration & Management,RedHatOpenShift,,YES,,,
TheLXCLinuxContainer,Explore,Cloud Native Engineering,FALSE,,,,,CICD,TheLXCLinuxContainer,,YES,,,
containerd,Explore,Cloud Native Engineering,FALSE,,,,,CICD,containerd,,YES,,,
rkt,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Rkt,,YES,,,
OpenShiftSource2Image,Invest,Cloud Native Engineering,FALSE,,,,,CICD,OpenShiftSource2Image,,YES,,,
AWSRedShift,Scale,Composability,FALSE,Columnar DB,,,,Analytics,AWSRedShift,,YES,,,
Chef,Master,Cloud Native Engineering,FALSE,,,,,CICD,Chef,,YES,,,
Puppet,Master,Cloud Native Engineering,FALSE,,,,,CICD,Puppet,,YES,,,
Codacy,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Codacy,,YES,,,
AzureSynapseAnalytics,Explore,Composability,FALSE,,,,,Analytics,AzureSynapseAnalytics,,YES,,,
Acunetix,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Acunetix,,YES,,,
JenkinsX,Explore,Cloud Native Engineering,FALSE,,,,,CICD,JenkinsX,ASSESS,YES,,,
Spinnaker,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Spinnaker,ASSESS,YES,,,
TravisCI,Explore,Cloud Native Engineering,FALSE,,,,,CICD,TravisCI,ASSESS,YES,,,
Jsonnet,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Jsonnet,ASSESS,YES,,,
CircleCI,Invest,Cloud Native Engineering,FALSE,,,,,CICD,CircleCI,TRIAL,YES,,,
Kustomize,Invest,Cloud Native Engineering,FALSE,,,,,CICD,Kustomize,TRIAL,YES,,,
AWSHoneyCode,Explore,Composability,FALSE,,,,,Low Code No Code,AWSHoneyCode,,YES,,,
Keycloak,Invest,Cloud Native Engineering,FALSE,,,,,CICD,Keycloak,,YES,,,
Qualysvulnerability-management,Explore,Cloud Native Engineering,FALSE,,,,,CICD,Qualysvulnerability-management,,YES,,,
ContrastSecurity,Explore,Cloud Native Engineering,FALSE,,,,,CICD,ContrastSecurity,,YES,,,
AquaSecurity,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AquaSecurity,,YES,,,
AzureDataFactory,Explore,Composability,FALSE,ETL,,,,Analytics,AzureDataFactory,,YES,,,
XebiaLabs,Explore,Cloud Native Engineering,FALSE,,,,,CICD,XebiaLabs,,YES,,,
WhiteSource,Explore,Cloud Native Engineering,FALSE,,,,,CICD,WhiteSource,,YES,,,
GCPSecretsManagement,Explore,Cloud Infrastructure,FALSE,,,,,CICD,GCPSecretsManagement,ASSESS,YES,,,
Sops,Invest,Cloud Infrastructure,TRUE,,,,,CICD,#N/A,ADOPT,YES,,,
BitnamiSealedSecrets,Invest,Cloud Infrastructure,FALSE,,,,,CICD,BitnamiSealedSecrets,TRIAL,YES,,,
cert-manager,Invest,Cloud Infrastructure,FALSE,,,,,CICD,cert-manager,ADOPT,YES,,,
AWSSecretsManager,Invest,Cloud Infrastructure,FALSE,,,,,CICD,AWSSecretsManager,ADOPT,YES,,,
AWSArtifact,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AWSArtifact,,YES,,,
AWSAuditManager,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AWSAuditManager,,YES,,,
AzureServiceTrustPortal,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AzureServiceTrustPortal,,YES,,,
AWSSecurityHub,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AWSSecurityHub,,YES,,,
AzureSecurityCenter,Explore,Cloud Native Engineering,FALSE,,,,,CICD,AzureSecurityCenter,,YES,,,
GCPSecurityCommandCenter,Explore,Cloud Native Engineering,FALSE,,,,,CICD,GCPSecurityCommandCenter,,YES,,,
AWSCertificateMgr,Invest,Cloud Native Engineering,FALSE,,,,,CICD,AWSCertificateMgr,,YES,,,
AzureAppServiceCertificates,Invest,Cloud Native Engineering,FALSE,,,,,CICD,AzureAppServiceCertificates,,YES,,,
GCPCertificateAuthorityService,Invest,Cloud Native Engineering,FALSE,,,,,CICD,GCPCertificateAuthorityService,,YES,,,
AmazonCloudWatch,Invest,Observability & Beyond,TRUE, Beats - Lightweight shippers for Elasticsearch & Logstash,,,,Monitoring,#N/A,TRIAL,YES,,,
AWSCloudHSM,Invest,Cloud Native Engineering,FALSE,,,,,CICD,AWSCloudHSM,,YES,,,
AzureMonitor,Scale,Observability & Beyond,TRUE,"Real-time performance monitoring, done right! https://www.netdata.cloud",,,,Monitoring,#N/A,,YES,,,
AzureDedicatedHSM,Invest,Cloud Native Engineering,FALSE,,,,,CICD,AzureDedicatedHSM,,YES,,,
Elastic,Scale,Observability & Beyond,TRUE,Software intelligence to help DevSecOps teams across every industry tame cloud complexity and accelerate digital transformation,,,,Logging,#N/A,ADOPT,YES,,,
Fluentd,Scale,Observability & Beyond,TRUE,"Grafana allows you to query, visualize, alert on and understand your metrics no matter where they are stored. Create, explore, and share beautiful dashboards with your team and foster a data driven culture.",,,,Logging,#N/A,,YES,,,
Grafana,Scale,Observability & Beyond,FALSE,"Logstash - transport and process your logs, events, or other data",,,,Monitoring,Grafana,ADOPT,YES,,,
GCPBigQuery,Invest,Cloud Native Engineering,FALSE,Data Warehousing,,,,Analytics,GCPBigQuery,TRIAL,YES,,,
AmazonSageMakerDataWrangler,Explore,Composability,FALSE,ETL,,,,Analytics,AmazonSageMakerDataWrangler,,YES,,,
Jaeger,Invest,Observability & Beyond,FALSE,"Kiali project, observability for the Istio service mesh",,,,Tracing,Jaeger,TRIAL,YES,,,
GCPCloudDataFusion,Invest,Composability,FALSE,ETL,,,,Analytics,GCPCloudDataFusion,,YES,,,
GCPDataflow,Invest,Composability,FALSE,ETL,,,,Analytics,GCPDataflow,,YES,,,
GCPDataproc,Invest,Composability,FALSE,ETL,,,,Analytics,GCPDataproc,,YES,,,
AzureHDInsight,Invest,Composability,FALSE,BigData Processing,,,,Analytics,AzureHDInsight,,YES,,,
AWSQuickSight,Explore,Composability,FALSE,,,,,Analytics,AWSQuickSight,,YES,,,
AzurePowerBIEmbedded,Invest,Composability,FALSE,,,,,Analytics,AzurePowerBIEmbedded,,YES,,,
GCPLooker,Explore,Composability,FALSE,Business Analytics,,,,Analytics,GCPLooker,,YES,,,
GoogleDataStudio,Explore,Composability,FALSE,Business Analytics,,,,Analytics,GoogleDataStudio,,YES,,,
AWSAthena,Explore,Composability,FALSE,,,,,Analytics,AWSAthena,,YES,,,
AWSIoTAnalytics,Explore,Composability,FALSE,,,,,Analytics,AWSIoTAnalytics,,YES,,,
AWSIoTThingsGraph,Explore,Composability,FALSE,,,,,Analytics,AWSIoTThingsGraph,,YES,,,
AWSLakeFormation,Explore,Composability,FALSE,,,,,Analytics,AWSLakeFormation,,YES,,,
AWSHealthLake,Explore,Composability,FALSE,,,,,Analytics,AWSHealthLake,,YES,,,
AzureDataLakeStorage,Explore,Composability,FALSE,,,,,Analytics,AzureDataLakeStorage,,YES,,,
GCPCloudStorate,Explore,Composability,FALSE,,,,,Analytics,GCPCloudStorate,,YES,,,
AmazonCloudSearch,Invest,Composability,FALSE,,,,,Analytics,AmazonCloudSearch,,YES,,,
AmazonElasticsearchService,Master,Observability & Beyond,FALSE,,,,,Analytics,AmazonElasticsearchService,ADOPT,YES,,,
AmazonKendra,Explore,Composability,FALSE,,,,,Analytics,AmazonKendra,,YES,,,
AzureCognitiveSearch,Explore,Composability,FALSE,Managed Search,,,,Analytics,AzureCognitiveSearch,,YES,,,
AzureBingSearchServices,Explore,Composability,FALSE,Managed Search,,,,Analytics,AzureBingSearchServices,,YES,,,
AmazonManagedStreamingforKafka,Explore,Composability,FALSE,Managed Kafka,,,,Analytics,AmazonManagedStreamingforKafka,,YES,,,
AzureEventHubsforKafka,Explore,Composability,FALSE,Managed Kafka,,,,Analytics,AzureEventHubsforKafka,,YES,,,
AmazonKinesisDataAnalytics,Explore,Composability,TRUE,Real-time Data Streaming,,,,Analytics,#N/A,,YES,,,
AmazonKinesisDataStreams,Explore,Composability,FALSE,Real-time Data Streaming,,,,Analytics,AmazonKinesisDataStreams,,YES,,,
AzureStreamAnalytics,Explore,Composability,FALSE,Real-time Data Streaming,,,,Analytics,AzureStreamAnalytics,,YES,,,
GCPDataflow,Invest,Composability,FALSE,Real-time Data Streaming,,,,Analytics,GCPDataflow,,YES,,,
GCPPub/Sub,Invest,Composability,FALSE,Real-time Data Streaming,,,,Analytics,GCPPub/Sub,,YES,,,
CloudBeesCore,Explore,Cloud Native Engineering,FALSE,,,,,CICD,CloudBeesCore,,YES,,,
Prometheus,Scale,Observability & Beyond,FALSE,"SOFATracer is a component for the distributed system call trace. And through a unified traceId logging the logs of various network calls in the invoking link. These logs can be used for quick discovery of faults, service governance, etc.",,,,Monitoring,Prometheus,ADOPT,YES,,,
SaltStack,Explore,Cloud Infrastructure,FALSE,,,,,Others,SaltStack,,YES,,,
Fabric,Explore,Cloud Infrastructure,FALSE,,,,,Others,Fabric,,YES,,,
CAUnifiedInfrastructureManagement,Explore,Cloud Infrastructure,FALSE,,,,,Others,CAUnifiedInfrastructureManagement,,YES,,,
K6,Explore,Cloud Infrastructure,FALSE,,,,,Others,K6,,YES,,,
Test-Infra,Explore,Cloud Infrastructure,FALSE,,,,,Others,Test-Infra,,YES,,,
Kube-Monkey,Explore,Observability & Beyond,FALSE,,,,,Others,Kube-Monkey,,YES,,,
Litmus,Explore,Observability & Beyond,FALSE,,,,,Others,Litmus,,YES,,,
Kube-Score,Explore,Observability & Beyond,FALSE,,,,,Others,Kube-Score,,YES,,,
KubeLibrary,Explore,Observability & Beyond,FALSE,,,,,Others,KubeLibrary,,YES,,,
Logz.io,Explore,Observability & Beyond,FALSE,,,,,Others,Logz.io,,YES,,,
KubernetesOperators,Invest,Observability & Beyond,FALSE,,,,,Others,KubernetesOperators,,YES,,,
GoLang,Invest,Cloud Native Engineering,FALSE,Todo,,Invest,FALSE,Development,GoLang,,YES,,,
Hystrix,Master,Cloud Native Engineering,FALSE,,,Invest,FALSE,Development,Hystrix,,YES,,,
sysdig,Scale,Observability & Beyond,TRUE,Fluentd: Unified Logging Layer (project under CNCF),,,,Monitoring,#N/A,,YES,,,
Consul,Invest,Cloud Native Engineering,FALSE,,,,,Managed DB,Consul,TRIAL,YES,,,
Sentry,Invest,Observability & Beyond,TRUE,,,,,,,TRIAL,YES,,,
Statsd,Invest,Observability & Beyond,TRUE,,,,,,,TRIAL,YES,,,
GitHubActions,Scale,Cloud Native Engineering,TRUE,,,,,,,ASSESS,YES,,,
Vitess,Explore,Cloud Native Engineering,TRUE,,,,,,,ASSESS,YES,,,
Harness,Explore,Cloud Native Engineering,TRUE,,,,,,,ASSESS,YES,,,CI CD
SonaType Nexus,Scale,Cloud Infrastructure,TRUE,,,,,,,ASSESS,YES,,,
Linkerd,Explore,Composability,TRUE,,,,,,,ASSESS,YES,,,orchestration & Management 
HashicorpSentinel,Explore,Cloud Infrastructure,TRUE,,,,,,,ASSESS,YES,,,policy as code
OpA,Invest,Cloud Infrastructure,TRUE,,,,,,,ADOPT,YES,,,Security Complance
Xray,Invest,Cloud Infrastructure,TRUE,,,,,,,TRIAL,YES,,,Quality managment 
Calico/Tigera,Master,Composability,TRUE,,,,,,,ADOPT,YES,,,Network Managemnt 
AWSCostExplorer,Scale,Cloud Infrastructure,FALSE,,,,,,,,YES,,,